"","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_8Dec2020","diff_intro_F40","diff_intro_F70","diff_min_vac_intro_8Dec2020_clean","V1_date_group","V1_group","V40_date_group","V40_group","V1_dummy","V40_dummy","V70_dummy","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes"
"96",26,"Haas","Retrospective cohort","05May2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">7","severe/critical hospitalization","severe","Israel","general pop","general pop",97.5,97.1,97.8,NA,"alpha",NA,NA,NA,"Israel","ISR",26,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-05-05,"severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"97",27,"Abu-Raddad","Test-negative case-control","08Jul2021","BNT162b2 (Pfizer BioNTech)","unknown","2","final",">14","severe/fatal infection","severe","Qatar","general pop","general pop",100,82,100,"alpha","alpha",NA,NA,NA,"Qatar","QAT",27,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,51,123,200,51,"jan/2021","30-59","before Jun/2021","<180","yes","yes","yes",2021-07-08,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"98",43,"Stowe","Test-negative case-control","14June2021","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","hospitalization","severe","UK","hospital patients","general pop",95,78,99,"alpha","alpha","~20 weeks",NA,NA,"UK","GBR",43,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-06-14,"severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"99",49,"Nasreen","Test-negative case-control","07Feb2022","BNT162b2 (Pfizer BioNTech)","unknown","2","final","14+","hospitalization or death","severe","Canada","general pop","general pop",96,94,97,"alpha","alpha","~28 weeks",NA,NA,"Canada","CAN",49,"CAN",46580,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-02-07,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"100",95,"Andrews","Test-negative case-control","12Jan2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14-63","hospitalization","severe","UK",">= 16 years","general pop",97.7,90.8,99.4,"alpha","alpha","~33.5 weeks",NA,NA,"UK","GBR",95,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"101",96,"Glatman-Freedman","Retrospective cohort","16Sept2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","22-28","hospitalization","severe","Israel",">= 16 years","general pop",99,98.4,99.3,NA,"alpha","2 weeks",NA,NA,"Israel","ISR",96,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-09-16,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"102",96,"Glatman-Freedman","Retrospective cohort","16Sept2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","22-28","severe/critical disease","severe","Israel",">= 16 years","general pop",99.2,98.6,99.5,NA,"alpha","2 weeks",NA,NA,"Israel","ISR",96,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-09-16,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"103",114,"Skowronski","Test-negative case-control","19Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","Hospitalization","severe","Canada",">= 18 years","general pop",96,83,99,"alpha","alpha","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",46580,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-04-19,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"104",178,"Lauring","Test-negative case-control","09Mar2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","hospitalization","severe","USA",">= 18 years","general pop",82,77,86,"alpha","alpha","~44 weeks",NA,NA,"USA","USA",178,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-03-09,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"105",326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included","2","final","~3 weeks","hospitalization","severe","USA",">=5 years","general pop",94.1,92.2,95.5,NA,"alpha","~3 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"106",326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included","2","final","~21 weeks","hospitalization","severe","USA",">=5 years","general pop",87.1,85,88.9,NA,"alpha","~21 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"107",387,"Altarawneh","Test-negative case-control","27Jul2023","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","severe, critical or fatal disease","severe","Qatar","all ages","general pop",96.1,71.2,99.5,NA,"alpha","~8 weeks",NA,NA,"Qatar","QAT",387,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,51,123,200,51,"jan/2021","30-59","before Jun/2021","<180","yes","yes","yes",2023-07-27,"severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"108",93,"Polinski","Retrospective cohort","17Mar2022","Ad26.COV2.S (Janssen)","excluded","1","final","14+","hospitalization","severe","USA",">= 18 years","general pop",81,78,82,NA,"alpha","~14 weeks",NA,NA,"USA","USA",93,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-03-17,"severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","alpha","yes",NA
"109",267,"Lewis","Test-negative case-control","08Jun2022","Ad26.COV2.S (Janssen)","included","1","final","14+","hospitalization","severe","USA","hospitalized adults","general pop",68,43,83,NA,"alpha","~39.5 weeks",NA,NA,"USA","USA",267,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-06-08,"severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","alpha","yes",NA
"110",49,"Nasreen","Test-negative case-control","07Feb2022","mRNA-1273 (Moderna)","unknown","2","final","14+","hospitalization or death","severe","Canada","general pop","general pop",95,92,97,"alpha","alpha","~25 weeks",NA,NA,"Canada","CAN",49,"CAN",46580,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-02-07,"severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","alpha","yes",NA
"111",178,"Lauring","Test-negative case-control","09Mar2022","mRNA-1273 (Moderna)","excluded","2","final","14+","hospitalization","severe","USA",">= 18 years","general pop",90,85,93,"alpha","alpha","~44 weeks",NA,NA,"USA","USA",178,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-03-09,"severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","alpha","yes",NA
"112",326,"Lin","Retrospective cohort","26Sep2022","mRNA-1273 (Moderna)","included","2","final","~2 weeks","hospitalization","severe","USA",">=5 years","general pop",96.5,95.1,97.6,NA,"alpha","~2 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","alpha","yes",NA
"113",326,"Lin","Retrospective cohort","26Sep2022","mRNA-1273 (Moderna)","included","2","final","~20 weeks","hospitalization","severe","USA",">=5 years","general pop",90.4,88.6,91.9,NA,"alpha","~20 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","alpha","yes",NA
"114",43,"Stowe","Test-negative case-control","14June2021","AZD1222 (AstraZeneca)","included","2","final","14+","hospitalization","severe","UK","hospital patients","general pop",86,53,96,"alpha","alpha","~20 weeks",NA,NA,"UK","GBR",43,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-06-14,"severe","2021 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","alpha","yes",NA
"115",49,"Nasreen","Test-negative case-control","07Feb2022","AZD1222 (AstraZeneca)","unknown","2","final","14+","hospitalization or death","severe","Canada","general pop","general pop",92,41,99,"alpha","alpha","~3 weeks",NA,NA,"Canada","CAN",49,"CAN",46580,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-02-07,"severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","alpha","yes",NA
"116",95,"Andrews","Test-negative case-control","12Jan2022","AZD1222 (AstraZeneca)","excluded","2","final","14-63","hospitalization","severe","UK",">= 16 years","general pop",95.1,86.7,98.2,"alpha","alpha","~20.5 weeks",NA,NA,"UK","GBR",95,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","alpha","yes",NA
"117",95,"Andrews","Test-negative case-control","12Jan2022","AZD1222 (AstraZeneca)","excluded","2","final","70+","hospitalization","severe","UK",">= 16 years","general pop",100,NA,NA,"alpha","alpha","~20.5 weeks",NA,NA,"UK","GBR",95,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","alpha","yes",NA
"118",43,"Stowe","Test-negative case-control","14June2021","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","hospitalization","severe","UK","hospital patients","general pop",96,86,99,"delta","delta","~20 weeks",NA,NA,"UK","GBR",43,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-06-14,"severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"119",49,"Nasreen","Test-negative case-control","07Feb2022","BNT162b2 (Pfizer BioNTech)","unknown","2","final","14+","hospitalization or death","severe","Canada","general pop","general pop",98,96,99,"delta","delta","~28 weeks",NA,NA,"Canada","CAN",49,"CAN",46580,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-02-07,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"120",74,"Tang","Test-negative case-control","02Nov2021","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","severe, critical, fatal disease","severe","Qatar","general pop","general pop",94.1,85.9,97.6,"delta","delta","~25 weeks",NA,NA,"Qatar","QAT",74,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,51,123,200,51,"jan/2021","30-59","before Jun/2021","<180","yes","yes","yes",2021-11-02,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"121",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","7+","hospitalization","severe","USA",">= 12 years","general pop",93,84,96,"delta","delta","~29 weeks",NA,NA,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-10-16,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"122",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","168-203","severe disease","severe","Israel","40-59 years","40-59 years",98,94,99,NA,"delta","28 weeks",NA,NA,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-10-27,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"123",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","168-203","severe disease","severe","Israel",">= 60 years",">= 60 years",93,86,97,NA,"delta","13 weeks",NA,NA,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-10-27,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"124",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","109-159","severe disease","severe","Israel","40-59 years","40-59 years",92,87,95,NA,"delta","22 weeks",NA,NA,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-10-27,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"125",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","109-159","severe disease","severe","Israel",">= 60 years",">= 60 years",85,81,88,NA,"delta","22 weeks",NA,NA,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-10-27,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"126",92,"Grannis","Test-negative case-control","10Sept2021","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","hospitalization","severe","USA",">= 18 years","general pop",80,73,85,NA,"delta","4 weeks",NA,NA,"USA","USA",92,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-09-10,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"127",95,"Andrews","Test-negative case-control","12Jan2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","hospitalization","severe","UK",">= 16 years","general pop",96.6,96.2,96.9,"delta","delta","~33.5 weeks",NA,NA,"UK","GBR",95,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"128",95,"Andrews","Test-negative case-control","12Jan2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14-69","hospitalization","severe","UK",">= 16 years","general pop",98.4,97.9,98.8,"delta","delta","~8 weeks",NA,NA,"UK","GBR",95,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"129",95,"Andrews","Test-negative case-control","12Jan2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","140+","hospitalization","severe","UK",">= 16 years","general pop",92.7,90.3,94.6,"delta","delta","~33.5 weeks",NA,NA,"UK","GBR",95,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"130",114,"Skowronski","Test-negative case-control","19Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","hospitalization","severe","Canada",">= 18 years","general pop",98,97,98,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",46580,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-04-19,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"131",114,"Skowronski","Test-negative case-control","19Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14-27","hospitalization","severe","Canada",">= 18 years","general pop",98,95,99,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",46580,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-04-19,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"132",114,"Skowronski","Test-negative case-control","19Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","196-223","hospitalization","severe","Canada",">= 18 years","general pop",94,87,97,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",46580,2019,"Canada","North America","High income",4,"North America",2020-12-16,2021-07-09,2021-09-28,2020-12-14,2020-12-14,2,6,207,288,6,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-04-19,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"133",151,"Collie","Test-negative case-control","29Dec2021","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","Hospitalization","severe","South Africa",">= 18 years","general pop",93,90,94,NA,"delta","~19 weeks",NA,NA,"South Africa","ZAF",151,"ZAF",6570,2019,"South Africa","Sub-Saharan Africa","Upper middle income",3,"Africa",2021-02-19,NA,NA,2021-02-17,2021-02-17,2,71,NA,NA,71,"feb/2021","60-89","not reached","not reached","yes","no","no",2021-12-29,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"134",165,"Tartof","Test-negative case-control","22Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","7+","hospitalization","severe","USA","hospital admissions","general pop",76,69,82,"delta","delta","~47 weeks",NA,NA,"USA","USA",165,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-04-22,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"135",166,"Tartof","Test-negative case-control","22Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","7 to <3 months","hospitalization","severe","USA","hospital admissions","general pop",78,55,89,"delta","delta","~47 weeks",NA,NA,"USA","USA",165,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-04-22,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"136",167,"Tartof","Test-negative case-control","22Apr2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">=9 months","hospitalization","severe","USA","hospital admissions","general pop",73,58,83,"delta","delta","~47 weeks",NA,NA,"USA","USA",165,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-04-22,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"137",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","intubation","severe","Greece","15-59 years","15-59 years",98.1,97.5,98.6,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"138",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","6 months","intubation","severe","Greece","15-59 years","15-59 years",95.5,94.3,96.5,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"139",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","intubation","severe","Greece","60-79 years","60-79 years",96.7,95.9,97.4,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"140",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","6 months","intubation","severe","Greece","60-79 years","60-79 years",92,91,92.9,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"141",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","intubation","severe","Greece",">= 80 years",">= 80 years",94.2,92,95.7,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
"142",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","6 months","intubation","severe","Greece",">= 80 years",">= 80 years",85.9,83.5,88,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,15,198,397,15,"before jan/2021","<30","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA
